-256,2,-47,8,-9,9,15,-8,-27,10,-4,15,-17,13,1,16,-9,12,-19,-4,3,4,7,-22,-13,-12,-20,10,3,-6,-8,-5,-9,-1,-16,-17,14,5,-3,-2,-28,-14,-269,-25080,-25208,-25191,-25190,-24704,24987,24700,-24949,-24708,24461,-24435,24473,-24732,-86,-11,9,11,27,-20,8,8,-23,5,-8,17,3,9,-21,-13,17,3,-1,-7,-3,-13,-7,-45,1,-631,-653,-615,-624,-636,636,608,-638,-635,432,-19351,-18250,-19458,-18845,-18460,18664,18487,-18690,-18472,18283,-18324,18285,-18495,-86,23,-27,-2,5,-8,11,-13,21,-41,17,-1,-38,10,8,-15,19,-6,19,-3,1,-6,-26,-15,-34,6,17,-27,-19,17,-23,37,0,-30,18,-2,26,-27,5,-2,28,23,9,-32,-1,6,11,-5,13,0,-16,2,6,-3,-18,9,-13,-28,14,3,1,7,-2,-5,4,-17,7,-10,-14,-17,3,5,-30,-2,-12,-14,-7,-32,-19,-7,-13,-22,10,-32,5,1,-7,26,-13,-5,-6,-10,18,-26,6,7,-11,14,22,-12,-13,14,3,-4,-20,20,-28,25,-11,-10,14,-6,14,-8,-16,2,-13,7,-14,-9,-17,10,-10,5,10,0,-13,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-256,-27,-8,18,-8,-15,-9,22,-17,3,-5,1,-21,11,-7,6,-6,9,-13,-26,13,7,8,23,0,4,-13,1,-27,9,1,-5,-6,-4,8,8,7,20,22,15,29,5,-233,-25060,-25165,-25190,-25211,-24676,24956,24687,-24962,-24717,24466,-24463,24500,-24739,-117,-15,-6,-14,15,1,15,15,2,12,0,-3,24,-6,-17,4,-13,-21,11,3,26,2,-21,8,-8,-613,-633,-675,-642,-604,635,615,-585,-598,415,-19351,-18210,-19489,-18886,-18482,18664,18503,-18716,-18482,18309,-18317,18308,-18494,-78,15,-4,-6,-34,-19,1,24,-1,39,-22,-12,-25,-33,18,19,-2,24,-12,-19,22,8,15,-24,-14,-14,7,29,5,4,-1,3,-7,11,-21,-43,30,-3,9,-14,-13,-22,-11,-17,-14,-7,-23,5,-18,-22,-1,22,-15,5,-10,-27,9,-6,14,19,14,-15,0,13,9,22,9,-2,1,3,-23,-4,22,10,33,-14,2,10,4,-9,-8,5,-16,26,26,-2,-3,-7,1,11,3,8,13,-25,-9,5,5,-6,18,21,-16,9,-1,-6,-4,20,-7,26,-3,11,-39,-10,-10,-3,15,-1,-15,7,-15,-49,-11,14,-21,-3,6,-11,-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,-10,8,17,-6,-19,38,-6,-3,15,11,2,3,9,10,16,-8,6,-8,18,16,4,-16,-19,-20,-1,19,31,7,-33,20,11,-26,1,-9,-35,12,-2,-7,0,11,-254,-25069,-25204,-25174,-25177,-24678,24964,24695,-24964,-24664,24501,-24492,24450,-24714,-109,14,28,7,-13,9,4,-10,-9,26,-34,5,2,2,25,11,-36,-32,-5,4,-7,-13,13,-16,4,-599,-633,-617,-621,-628,656,636,-640,-616,434,-19381,-18243,-19475,-18882,-18494,18695,18469,-18698,-18510,18333,-18291,18313,-18535,-66,-14,-1,0,30,-1,-7,-51,0,-52,30,-7,46,-46,-18,0,3,3,14,-20,25,2,16,13,-14,-8,-2,14,5,-39,30,-6,-29,-20,-28,-7,9,-14,23,10,-35,2,-7,-28,-10,-4,9,-18,-18,0,-7,15,7,-9,-24,12,-19,1,-17,-10,-6,11,-26,-13,-4,4,-9,-11,-10,1,-5,17,-15,1,12,-9,-21,-3,-13,8,5,-12,-9,-9,6,-4,1,0,-2,-12,-18,11,6,11,-4,15,8,19,-22,-43,0,0,-4,4,-24,-2,-17,11,16,11,-2,20,13,11,0,-10,-13,-1,3,4,-12,-15,7,12,4,-11,-5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-5,-10,-6,8,5,3,-15,-8,3,-29,-2,-19,17,40,2,4,-4,-32,10,18,-20,-7,4,-15,-2,-7,16,3,22,-34,3,-4,6,-2,34,11,31,-6,-20,-23,14,-220,-25070,-25194,-25185,-25202,-24714,24945,24678,-24977,-24738,24467,-24458,24473,-24730,-108,-5,9,-21,-6,4,2,34,-10,0,-9,17,13,-1,-12,47,2,-10,-16,-1,-15,-19,-8,-15,10,-608,-668,-643,-655,-636,627,600,-656,-614,426,-19357,-18271,-19481,-18868,-18483,18641,18484,-18688,-18481,18360,-18312,18325,-18502,-80,8,32,-20,28,-20,-11,-34,43,-2,-25,-17,-6,22,-1,-12,2,11,-28,-31,-23,18,9,4,51,1,-23,9,-16,16,-6,27,3,17,-51,44,-17,-28,0,-12,14,-31,19,7,-19,-7,20,9,-8,-21,-9,-11,3,7,23,16,-13,3,-9,19,3,-23,17,-21,-7,-1,18,-12,30,11,16,2,-7,5,9,3,-26,4,6,-23,-12,-12,-5,-12,4,-20,-8,-11,9,-9,33,-8,-10,9,-10,-12,-5,23,-8,4,-11,8,3,-19,22,-17,30,-4,22,6,16,11,-4,-32,-11,-4,-10,-16,1,2,-32,-13,30,-16,14,16,-13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,2,19,-19,-7,-8,-5,-14,10,12,3,-1,-4,-13,-4,2,16,-16,9,-6,-2,0,11,17,-7,10,-1,-35,4,12,3,-7,-8,5,-30,20,18,-16,19,-15,-28,-269,-25081,-25190,-25184,-25173,-24693,24950,24704,-24963,-24703,24477,-24459,24492,-24696,-126,-19,11,-6,-15,9,21,10,-22,13,-9,-5,26,-18,-36,-19,-5,-5,-6,9,35,13,17,-53,-17,-642,-610,-618,-594,-627,621,630,-638,-623,429,-19404,-18256,-19480,-18856,-18500,18643,18474,-18723,-18498,18335,-18308,18278,-18442,-35,-9,32,7,5,68,6,3,17,28,-20,-22,-22,-6,-5,-27,2,36,17,37,7,21,5,-18,-16,-13,-18,0,-21,-5,7,16,-13,37,0,-6,1,-9,12,14,-18,-15,5,20,-8,12,-17,-27,-7,-24,21,-15,13,-2,-10,-13,6,-8,1,7,-3,-3,5,-5,13,11,22,-6,-20,-11,21,1,12,-8,-5,-12,-14,-32,10,24,-4,2,-7,9,8,-21,-11,0,-1,-16,-20,16,-9,-9,-44,14,-12,18,-30,-15,-22,0,11,-2,-16,-10,-11,2,-5,-6,-14,-12,-13,5,-13,-3,24,2,-6,3,-15,-3,17,6,14,3,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-256,12,-1,-2,3,7,-20,9,8,9,-11,12,5,-1,-12,-2,15,-24,10,-16,18,-16,-11,24,19,-6,5,10,-1,-1,1,10,-2,10,2,-16,25,21,-32,22,16,-12,-250,-25062,-25196,-25236,-25202,-24703,24985,24694,-24959,-24698,24474,-24451,24476,-24701,-112,-13,4,-18,12,2,1,-8,-1,-18,12,-16,-36,-3,-2,19,-13,-16,9,61,11,9,28,6,-34,-648,-606,-649,-635,-589,615,611,-641,-602,430,-19387,-18260,-19498,-18860,-18458,18661,18524,-18700,-18475,18307,-18328,18341,-18439,-61,7,-25,28,6,9,14,-8,-16,-5,-21,-8,7,6,-15,-5,-17,-30,7,29,1,1,12,-9,9,0,17,-23,-31,14,-2,32,16,-45,-1,-9,11,-13,-8,-9,9,-14,-11,13,-7,-9,-21,26,-23,24,0,4,-3,2,-7,-35,-3,-1,4,-4,-4,21,-3,-10,5,-35,29,-11,-3,-12,-17,-11,-16,24,-11,0,24,-1,-17,10,3,14,15,-13,17,-29,20,-14,-15,-11,0,-1,-21,11,9,-8,-21,-12,-34,1,25,-27,6,2,14,-41,-1,6,-6,7,-1,5,6,11,17,0,3,-6,5,9,-5,16,-11,-16,-5,4,-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,-6,-8,5,1,-11,2,-1,-14,-5,6,-26,2,-23,-1,11,4,-34,-7,-8,4,10,8,-19,9,2,5,-11,24,8,12,21,-20,-9,18,-12,13,19,-11,1,-29,-228,-25070,-25151,-25190,-25178,-24661,24967,24704,-24955,-24660,24467,-24467,24488,-24706,-133,-41,13,18,-2,12,-15,50,17,-29,-32,-15,-22,-23,1,-41,-11,-4,16,-19,-7,16,-46,50,-12,-653,-630,-618,-622,-598,643,622,-633,-644,394,-19383,-18266,-19474,-18871,-18508,18692,18483,-18714,-18519,18328,-18342,18350,-18478,-81,17,-17,-16,-24,-7,-17,-12,60,29,45,1,-9,19,9,5,4,-18,-13,36,-18,-9,5,10,-14,-41,-8,11,-8,2,-6,-28,-24,-19,19,-5,-9,10,26,14,-7,-6,10,15,-14,25,8,10,18,13,6,13,-5,-5,7,-7,4,-24,8,-18,-7,-14,3,-17,28,-2,8,23,15,12,2,15,4,-27,3,6,-10,24,14,7,6,-7,-6,-9,-9,7,1,-10,-32,3,-12,20,5,-1,-7,14,-4,6,10,17,-8,20,5,26,-5,-10,2,-21,8,20,26,-18,-11,-3,5,-23,2,3,14,-14,-6,-18,0,-20,18,9,3,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-256,18,27,0,4,0,5,23,13,-21,15,-16,-3,10,-7,17,10,11,15,21,-10,6,3,10,2,1,11,-8,-2,3,2,-6,-9,10,21,21,-29,-21,-15,33,14,1,-233,-25051,-25182,-25192,-25201,-24713,24986,24735,-24966,-24722,24439,-24487,24478,-24713,-133,3,2,15,31,-20,3,19,1,6,-2,23,-34,-7,-6,-18,-4,5,45,4,5,-14,0,-2,17,-622,-659,-638,-664,-615,635,631,-644,-618,420,-19372,-18223,-19493,-18837,-18496,18686,18479,-18699,-18484,18288,-18327,18306,-18499,-101,3,6,4,-24,5,18,4,-20,-1,26,20,12,2,7,32,24,-12,17,-3,17,15,-12,14,-6,-4,13,-29,5,-14,-29,45,0,5,-49,1,-8,-2,-10,-10,13,-12,4,-13,-9,23,7,7,-17,-6,-12,-1,14,6,10,17,5,-2,-5,21,34,15,-3,-4,-16,1,-1,-6,24,7,-7,-10,-2,-15,7,-1,6,-6,21,0,-16,-3,-18,-5,-5,-13,-8,7,8,-7,13,-8,-11,-20,-16,8,-7,-24,8,-5,-2,-9,-5,-16,-11,7,14,10,-8,-17,23,-15,-9,1,4,-5,5,7,-1,-10,-30,12,-10,-11,-15,-11,-6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-256,-11,-19,21,0,-11,8,-35,-28,1,6,1,-20,-41,-24,-9,-22,30,12,10,23,18,13,-8,-5,-11,2,-9,-10,-5,0,-4,5,8,7,2,-9,-11,-2,-1,28,-2,-214,-25078,-25180,-25210,-25177,-24741,24970,24690,-24991,-24704,24476,-24450,24471,-24709,-139,-22,13,-32,-2,-8,8,15,19,-9,4,-22,-11,-4,12,18,22,14,5,38,-27,-3,3,-31,28,-634,-672,-652,-645,-627,633,606,-632,-597,433,-19407,-18269,-19481,-18835,-18496,18677,18458,-18645,-18499,18352,-18346,18327,-18538,-82,4,-29,5,32,-38,-41,-3,-9,44,31,4,15,7,10,-24,24,-2,-8,23,8,-33,-22,22,6,-15,-45,1,-34,23,-15,-12,-5,-21,25,27,37,5,10,46,-16,10,2,-9,-17,-17,25,27,-9,-21,-5,-25,7,18,4,1,2,0,7,31,-18,10,-24,-11,-2,-10,-11,23,5,7,-1,-27,-35,15,-27,-4,-15,-7,12,-11,3,12,-13,0,12,-18,1,3,-34,12,9,-3,-26,4,11,15,22,-8,-26,-13,-2,5,-19,-12,5,4,14,21,4,11,-16,-30,-10,4,-22,27,11,4,20,13,9,25,12,-21,9,-23,-20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,15,1,3,-23,-7,4,-4,4,1,8,-2,-24,-10,-3,-7,1,4,-4,-26,3,-3,-3,-2,-14,17,6,16,0,-9,-18,-22,-21,46,11,-4,14,14,7,14,10,-240,-25078,-25189,-25195,-25212,-24709,24969,24677,-24973,-24688,24483,-24486,24471,-24706,-133,3,-15,14,-17,-14,5,6,7,6,37,3,-17,3,-7,10,-9,-34,-26,20,21,11,-25,8,7,-611,-624,-630,-615,-638,608,625,-645,-593,443,-19412,-18248,-19478,-18840,-18475,18715,18511,-18686,-18510,18333,-18323,18295,-18515,-97,31,-4,-11,-22,41,0,34,-9,7,12,-10,28,52,-21,-6,-52,-6,-7,-20,23,2,-34,8,-49,-8,35,-6,21,-44,-17,-13,-16,11,4,2,-3,-20,-6,-2,8,-9,-29,0,17,-4,-21,16,6,11,-3,8,8,-10,-14,34,-11,-22,5,-11,7,-18,0,-8,-8,8,-17,5,19,11,3,-31,-13,-1,8,23,18,29,9,5,-16,7,15,-8,-3,26,-17,3,2,18,-1,8,20,30,-7,11,3,-11,10,1,18,28,6,-19,-1,-20,-11,8,0,1,-4,-17,-11,-15,-10,-10,-6,-16,0,16,-8,-1,-32,-15,1,-9,-17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
